epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
54,26496.3,0.32832,0.41931,0.09506,0.78215,0.78865,0.79477,0.51345,0.41504,0.60033,0.16037,4.58416e-05,4.58416e-05,4.58416e-05
55,26986.4,0.32305,0.4213,0.09352,0.77737,0.79638,0.79293,0.51292,0.41608,0.60329,0.16144,4.4296e-05,4.4296e-05,4.4296e-05
56,27475.9,0.32519,0.41909,0.09202,0.76783,0.80538,0.79531,0.51534,0.41334,0.59749,0.16147,4.27565e-05,4.27565e-05,4.27565e-05
57,27965.6,0.32639,0.41669,0.09251,0.76624,0.8034,0.79496,0.51581,0.41185,0.60195,0.16034,4.12246e-05,4.12246e-05,4.12246e-05
58,28456.3,0.32458,0.41376,0.09121,0.76955,0.79579,0.7962,0.51744,0.41213,0.61031,0.16187,3.97019e-05,3.97019e-05,3.97019e-05
59,28946.3,0.3169,0.41282,0.09206,0.77063,0.80057,0.79582,0.51697,0.41487,0.60128,0.16388,3.81899e-05,3.81899e-05,3.81899e-05
60,29436.8,0.31136,0.40837,0.09094,0.77828,0.79978,0.79955,0.52086,0.41158,0.60372,0.16125,3.66899e-05,3.66899e-05,3.66899e-05
61,29927.9,0.31252,0.40704,0.09004,0.78231,0.79965,0.7994,0.5206,0.41246,0.60615,0.16291,3.52037e-05,3.52037e-05,3.52037e-05
62,30418.8,0.31137,0.40466,0.08899,0.78509,0.79394,0.7957,0.51985,0.41217,0.6215,0.16159,3.37325e-05,3.37325e-05,3.37325e-05
63,30909.5,0.31409,0.40538,0.08841,0.77924,0.79483,0.79564,0.52012,0.41538,0.61398,0.16492,3.22778e-05,3.22778e-05,3.22778e-05
64,31399.7,0.31003,0.40075,0.0891,0.77663,0.79575,0.79765,0.51959,0.41525,0.61888,0.16605,3.08412e-05,3.08412e-05,3.08412e-05
65,31889.8,0.30502,0.39563,0.08758,0.78404,0.7949,0.79902,0.52347,0.41283,0.61456,0.1632,2.94239e-05,2.94239e-05,2.94239e-05
66,32379.8,0.30358,0.3969,0.08627,0.78139,0.79825,0.79829,0.52254,0.41329,0.61896,0.1611,2.80275e-05,2.80275e-05,2.80275e-05
67,32869.4,0.30685,0.3939,0.08686,0.78099,0.79697,0.79837,0.52137,0.41334,0.62242,0.16284,2.66532e-05,2.66532e-05,2.66532e-05
68,33359.4,0.30512,0.39501,0.08764,0.77574,0.79924,0.79807,0.5218,0.41442,0.61852,0.16603,2.53024e-05,2.53024e-05,2.53024e-05
69,33849.6,0.30503,0.39241,0.08621,0.77344,0.80217,0.79753,0.52161,0.41415,0.61937,0.16413,2.39766e-05,2.39766e-05,2.39766e-05
70,34339.9,0.29995,0.39394,0.08764,0.77952,0.79786,0.79635,0.52144,0.41501,0.61532,0.16564,2.26769e-05,2.26769e-05,2.26769e-05
71,34830.9,0.30096,0.3891,0.08557,0.77082,0.79971,0.79628,0.52014,0.41697,0.6176,0.16673,2.14046e-05,2.14046e-05,2.14046e-05
